,name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,num_supported_dev,lang.num,Status,revenue,fav_tot,fav_ver,broad_genre,size_mb
0,PAC-MAN Premium,100788224,3.99,21292,26,4.0,4.5,Games,38,10,paid,84955.08,85168.0,117.0,Games,100.788224
1,Evernote - stay organized,158578688,0.0,161065,26,4.0,3.5,Productivity,37,23,free,0.0,644260.0,91.0,Other,158.578688
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0.0,188583,2822,3.5,4.5,Weather,37,3,free,0.0,660040.5,12699.0,Other,100.524032
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0.0,262241,649,4.0,4.5,Shopping,37,9,free,0.0,1048964.0,2920.5,Other,128.512
4,Bible,92774400,0.0,985920,5320,4.5,5.0,Reference,37,45,free,0.0,4436640.0,26600.0,Other,92.7744
5,Shanghai Mahjong,10485713,0.99,8253,5516,4.0,4.0,Games,47,1,paid,8170.47,33012.0,22064.0,Games,10.485713
6,PayPal - Send and request money safely,227795968,0.0,119487,879,4.0,4.5,Finance,37,19,free,0.0,477948.0,3955.5,Other,227.795968
7,Pandora - Music & Radio,130242560,0.0,1126879,3594,4.0,4.5,Music,37,1,free,0.0,4507516.0,16173.0,Other,130.24256
8,PCalc - The Best Calculator,49250304,9.99,1117,4,4.5,5.0,Utilities,37,1,paid,11158.83,5026.5,20.0,Other,49.250304
9,Ms. PAC-MAN,70023168,3.99,7885,40,4.0,4.0,Games,38,10,paid,31461.15,31540.0,160.0,Games,70.023168
10,Solitaire by MobilityWare,49618944,4.99,76720,4017,4.5,4.5,Games,38,11,paid,382832.8,345240.0,18076.5,Games,49.618944
11,SCRABBLE Premium,227547136,7.99,105776,166,3.5,2.5,Games,37,6,paid,845150.24,370216.0,415.0,Games,227.547136
12,Google – Search made just for mobile,179979264,0.0,479440,203,3.5,4.0,Utilities,37,33,free,0.0,1678040.0,812.0,Other,179.979264
13,Bank of America - Mobile Banking,160925696,0.0,119773,2336,3.5,4.5,Finance,37,2,free,0.0,419205.5,10512.0,Other,160.925696
14,FreeCell,55153664,4.99,6340,668,4.5,4.5,Games,38,2,paid,31636.600000000002,28530.0,3006.0,Games,55.153664
15,TripAdvisor Hotels Flights Restaurants,207907840,0.0,56194,87,4.0,3.5,Travel,37,26,free,0.0,224776.0,304.5,Other,207.90784
16,Facebook,389879808,0.0,2974676,212,3.5,3.5,Social Networking,37,29,free,0.0,10411366.0,742.0,Other,389.879808
17,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0.0,223885,3726,4.0,4.5,Travel,37,18,free,0.0,895540.0,16767.0,Other,167.407616
18,"Shazam - Discover music, artists, videos & lyrics",147093504,0.0,402925,136,4.0,4.5,Music,37,16,free,0.0,1611700.0,612.0,Other,147.093504
19,Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4178,4.0,3.5,Games,47,1,paid,94053.44,125824.0,14623.0,Games,10.735026
20,iQuran,70707916,1.99,2929,966,4.5,4.5,Reference,43,2,paid,5828.71,13180.5,4347.0,Other,70.707916
21,:) Sudoku +,6169600,2.99,11447,781,5.0,5.0,Games,40,1,paid,34226.53,57235.0,3905.0,Games,6.1696
22,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0.0,137951,131,4.0,4.5,Sports,37,6,free,0.0,551804.0,589.5,Other,130.583552
23,Mileage Log | Fahrtenbuch,71203840,5.99,8,0,4.5,0.0,Business,37,3,paid,47.92,36.0,0.0,Other,71.20384
24,Cleartune - Chromatic Tuner,11423008,3.99,3241,297,4.0,4.0,Music,43,10,paid,12931.59,12964.0,1188.0,Other,11.423008
25,Lifesum – Inspiring healthy lifestyle app,188017664,0.0,5795,12,3.5,4.0,Health & Fitness,37,11,free,0.0,20282.5,48.0,Other,188.017664
26,Hangman.,4765696,0.0,42316,248,3.0,3.5,Games,38,1,free,0.0,126948.0,868.0,Games,4.765696
27,iTranslate - Language Translator & Dictionary,287933440,0.0,123215,25,3.5,5.0,Productivity,37,23,free,0.0,431252.5,125.0,Other,287.93344
28,TouchOSC,4263936,4.99,782,7,4.0,3.5,Music,43,1,paid,3902.1800000000003,3128.0,24.5,Other,4.263936
29,RadarScope,172772352,9.99,3449,23,4.0,4.5,Weather,37,1,paid,34455.51,13796.0,103.5,Other,172.772352
30,LinkedIn,273844224,0.0,71856,62,3.5,4.5,Social Networking,37,23,free,0.0,251496.0,279.0,Other,273.844224
31,Period Tracker Deluxe,40216576,1.99,13350,489,4.5,5.0,Health & Fitness,38,15,paid,26566.5,60075.0,2445.0,Other,40.216576
32,Election 2016 Map,2386944,0.99,137,0,3.0,0.0,Entertainment,37,1,paid,135.63,411.0,0.0,Entertainment,2.386944
33,Blackjack by MobilityWare,105431040,0.0,180087,1101,3.5,4.5,Games,37,5,free,0.0,630304.5,4954.5,Games,105.43104
34,White Noise,44129280,0.99,33426,299,4.0,5.0,Health & Fitness,37,3,paid,33091.74,133704.0,1495.0,Other,44.12928
35,iHeartRadio – Free Music & Radio Stations,116443136,0.0,293228,110,4.0,3.0,Music,37,2,free,0.0,1172912.0,330.0,Other,116.443136
